SN,Region,Site ID,Site Class,Snag Category,Sub Category,Snag Severity,Visit Date,Closing Date,Status,SnagFlag,Open Month,Closed Month
202,DXB,FUJ2150,CLASS B,ACCESS,ROAD DAMAGED/4X4 REQUIREMENT,MINOR,2024-06-03,2025-10-28,CLOSED,CLOSED_UNIQUE,June-24,October-25
219,AUH,AAN2332,CLASS C,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,MINOR,2024-06-06,2025-11-29,CLOSED,CLOSED_UNIQUE,June-24,November-25
242,AUH,AUH6413,CLASS C,POWER METER,POWER METER CABINET DAMAGED,MINOR,2024-06-12,2025-09-13,CLOSED,CLOSED_UNIQUE,June-24,September-25
243,AUH,AUH6414,CLASS C,POWER METER,POWER METER CABINET DAMAGED,MINOR,2024-06-12,2025-09-13,CLOSED,CLOSED_UNIQUE,June-24,September-25
245,AUH,AUH3157,CLASS C,DC SYSTEM,RECTIFIER MODULE FAULTY,MINOR,2024-06-13,2026-02-06,CLOSED,CLOSED_UNIQUE,June-24,February-26
246,AUH,AUH2766,CLASS C,POWER METER,POWER METER CABINET DAMAGED,MINOR,2024-06-13,2025-09-13,CLOSED,CLOSED_UNIQUE,June-24,September-25
252,AUH,AAN2039,CLASS C,AWL,AWL BULB FAULTY,MINOR,2024-06-20,2025-10-16,CLOSED,CLOSED_UNIQUE,June-24,October-25
95114,AUH,AAN2473,CLASS C,CIVIL,MAIN GATE FOUNDATION AND STOPPER NEED REPAIRING,MAJOR,2026-02-23,,OPEN,KEEP_OPEN,February-26,
262,AUH,AUH2498,CLASS C,CIVIL,SHELTER PADLOCK HOOK IS CUT,MAJOR,2024-06-21,2026-02-12,CLOSED,CLOSED_UNIQUE,June-24,February-26
95656,AUH,AAN2252,CLASS C,POWER METER,POWER METER CABINET DAMAGED,MINOR,2026-02-26,,OPEN,KEEP_OPEN,February-26,
265,AUH,AAN2080,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2024-06-21,2026-02-26,CLOSED,CLOSED_UNIQUE,June-24,February-26
283,AUH,AAN2329,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2024-06-22,2026-01-23,CLOSED,CLOSED_UNIQUE,June-24,January-26
288,AUH,AAN2589,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2024-06-22,2025-12-18,CLOSED,CLOSED_UNIQUE,June-24,December-25
92886,AUH,AAN2537,CLASS C,CIVIL,MAIN GATE IS RUSTED AND NEEDS REPAINTING,MINOR,2026-02-11,2026-02-27,CLOSED,CLOSED_UNIQUE,February-26,February-26
389,AUH,IAD0753,CLASS C,EXTERNAL ALARMS,NOT WORKING,MINOR,2024-07-01,2025-10-31,CLOSED,CLOSED_UNIQUE,July-24,October-25
95324,AUH,AUH6479,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2026-01-30,,OPEN,KEEP_OPEN,January-26,
96301,AUH,AUH2862,CLASS A,CIVIL,SHELTER ROOF REPAIR,MAJOR,2026-02-12,,OPEN,KEEP_OPEN,February-26,
419,AUH,AAN2394,CLASS C,EXTERNAL ALARMS,EXTERNAL ALARMS - OTHERS,MINOR,2024-07-04,2025-10-31,CLOSED,CLOSED_UNIQUE,July-24,October-25
96186,AUH,AUH6378,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2026-02-04,,OPEN,KEEP_OPEN,February-26,
445,AUH,AUH2843,CLASS C,MDB,AC POWER CABLE,MAJOR,2024-07-04,2026-02-06,CLOSED,CLOSED_UNIQUE,July-24,February-26
446,AUH,AUH3675,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-07-04,2026-02-03,CLOSED,CLOSED_UNIQUE,July-24,February-26
447,AUH,AUH3675,CLASS C,AWL,AWL CONTROL PANEL FAULTY,MINOR,2024-07-04,2025-10-31,CLOSED,CLOSED_UNIQUE,July-24,October-25
96753,AUH,AUH6488,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2026-03-10,,OPEN,KEEP_OPEN,March-26,
483,AUH,AUH2168,CLASS C,SHELTER,SOCKET FAULTY,MINOR,2024-07-06,2025-11-25,CLOSED,CLOSED_UNIQUE,July-24,November-25
486,AUH,AAN2549,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2024-07-08,2026-01-08,CLOSED,CLOSED_UNIQUE,July-24,January-26
518,AUH,AAN2513,CLASS C,CIVIL,SHELTER PADLOCK HOOK IS CUT,MINOR,2024-07-10,2025-08-25,CLOSED,CLOSED_UNIQUE,July-24,August-25
519,AUH,AAN2513,CLASS C,AIR CONDITIONING,INDOOR AC BLOWER MOTOR FAULTY,MAJOR,2024-07-10,2025-08-25,CLOSED,CLOSED_UNIQUE,July-24,August-25
96282,AUH,AUH6403,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2026-02-11,,OPEN,KEEP_OPEN,February-26,
96283,AUH,AUH6403,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2026-02-11,,OPEN,KEEP_OPEN,February-26,
569,AUH,AUH2506,CLASS C,EXTERNAL ALARMS,NOT WORKING,MINOR,2024-07-12,2025-09-24,CLOSED,CLOSED_UNIQUE,July-24,September-25
582,AUH,AUH0595,CLASS C,EXTERNAL ALARMS,CABLES NOT ROUTED PROPERLY,MINOR,2024-07-13,2025-10-31,CLOSED,CLOSED_UNIQUE,July-24,October-25
618,AUH,AUH2063,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2024-07-15,2026-01-15,CLOSED,CLOSED_UNIQUE,July-24,January-26
619,AUH,AUH2063,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-07-15,2026-01-15,CLOSED,CLOSED_UNIQUE,July-24,January-26
93886,AUH,AAN2029,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2026-02-17,,OPEN,KEEP_OPEN,February-26,
656,AUH,AAN3256,CLASS C,POWER METER,POWER METER NOT WORKING,MINOR,2024-07-17,2025-12-18,CLOSED,CLOSED_UNIQUE,July-24,December-25
96756,AUH,AUH2963,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2026-03-10,,OPEN,KEEP_OPEN,March-26,
96761,AUH,AUH2963,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2026-03-10,,OPEN,KEEP_OPEN,March-26,
96747,AUH,AUH2861,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2026-03-10,,OPEN,KEEP_OPEN,March-26,
96748,AUH,AUH2861,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2026-03-10,,OPEN,KEEP_OPEN,March-26,
94690,DXB,FUJ2691,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2026-02-13,,OPEN,KEEP_OPEN,February-26,
737,AUH,AUH3002,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2024-07-20,2026-01-02,CLOSED,CLOSED_UNIQUE,July-24,January-26
760,AUH,AUH6372,CLASS C,EXTERNAL ALARMS,NOT WORKING,MINOR,2024-07-20,2025-09-24,CLOSED,CLOSED_UNIQUE,July-24,September-25
780,DXB,RAK0516,CLASS C,EXTERNAL ALARMS,NOT WORKING,MINOR,2024-07-22,2025-10-31,CLOSED,CLOSED_UNIQUE,July-24,October-25
799,DXB,DXB1592,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-07-22,2026-02-07,CLOSED,CLOSED_UNIQUE,July-24,February-26
840,DXB,IDX0310,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-07-23,2026-01-30,CLOSED,CLOSED_UNIQUE,July-24,January-26
856,AUH,AAN2024,CLASS C,CIVIL,SHELTER PADLOCK HOOK IS CUT,MINOR,2024-07-24,2026-02-17,CLOSED,CLOSED_UNIQUE,July-24,February-26
93686,AUH,AAN2024,CLASS C,FIRE SYSTEMS,FIRE ALARM CONTROL PANEL FAULTY,MINOR,2026-02-17,,OPEN,KEEP_OPEN,February-26,
93687,AUH,AAN2024,CLASS C,AWL,AWL BULB FAULTY,MINOR,2026-02-17,,OPEN,KEEP_OPEN,February-26,
93690,AUH,AAN2024,CLASS C,CIVIL,MAIN GATE IS RUSTED AND NEEDS REPAINTING,MINOR,2026-02-17,,OPEN,KEEP_OPEN,February-26,
869,DXB,SHJ3715,CLASS C,CIVIL,MAIN GATE IS RUSTED AND NEEDS REPAINTING,MINOR,2024-07-24,2026-02-12,CLOSED,CLOSED_UNIQUE,July-24,February-26
870,DXB,SHJ3715,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2024-07-24,2026-02-12,CLOSED,CLOSED_UNIQUE,July-24,February-26
879,DXB,RAK2878,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-07-24,,OPEN,KEEP_OPEN,July-24,
906,AUH,AAN2337,CLASS C,CIVIL,SHELTER PADLOCK HOOK IS CUT,MINOR,2024-07-25,2025-06-24,CLOSED,CLOSED_UNIQUE,July-24,June-25
909,AUH,AAN2541,CLASS C,CIVIL,SHELTER PADLOCK HOOK IS CUT,MINOR,2024-07-25,2025-06-23,CLOSED,CLOSED_UNIQUE,July-24,June-25
930,AUH,AUH2743,CLASS C,SHELTER,SHELTER - OTHERS,MINOR,2024-07-25,2026-01-30,CLOSED,CLOSED_UNIQUE,July-24,January-26
94746,DXB,DXB2739,CLASS C,CIVIL,SHELTER FLOOR NEEDS REPAIRING,MINOR,2026-02-20,,OPEN,KEEP_OPEN,February-26,
94954,AUH,AUH2926,CLASS A,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2026-02-21,,OPEN,KEEP_OPEN,February-26,
94956,AUH,AUH2926,CLASS A,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2026-02-21,,OPEN,KEEP_OPEN,February-26,
97780,AUH,AUH3587,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2026-03-14,,OPEN,KEEP_OPEN,March-26,
991,AUH,AUH2431,CLASS C,AWL,AWL BULB FAULTY,MINOR,2024-07-26,2025-10-31,CLOSED,CLOSED_UNIQUE,July-24,October-25
1006,AUH,AAN2422,CLASS B,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,MINOR,2024-07-27,2025-08-21,CLOSED,CLOSED_UNIQUE,July-24,August-25
92217,AUH,AAN2884,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2026-02-07,,OPEN,KEEP_OPEN,February-26,
1052,AUH,AAN2423,CLASS B,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,MINOR,2024-07-29,2025-12-23,CLOSED,CLOSED_UNIQUE,July-24,December-25
1053,AUH,AAN2423,CLASS B,CIVIL,MAIN GATE IS RUSTED AND NEEDS REPAINTING,MINOR,2024-07-29,2025-12-23,CLOSED,CLOSED_UNIQUE,July-24,December-25
1056,AUH,AAN2421,CLASS A,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,MINOR,2024-07-29,2025-12-23,CLOSED,CLOSED_UNIQUE,July-24,December-25
1088,AUH,AUH2776,CLASS C,CIVIL,SHELTER ROOF WATERPROOFING,MINOR,2024-07-29,2025-04-15,CLOSED,CLOSED_UNIQUE,July-24,April-25
1089,AUH,AUH2776,CLASS C,FIRE SYSTEMS,FIRE EXTINGUISHER EMPTY/MISSING,MINOR,2024-07-29,2025-10-31,CLOSED,CLOSED_UNIQUE,July-24,October-25
1091,AUH,AUH3344,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-07-29,,OPEN,KEEP_OPEN,July-24,
1136,AUH,AUH3109,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2024-07-30,,OPEN,KEEP_OPEN,July-24,
1146,AUH,AAN2050,CLASS C,FIRE SYSTEMS,FIRE ALARM CONTROL PANEL FAULTY,MINOR,2024-07-31,2025-08-12,CLOSED,CLOSED_UNIQUE,July-24,August-25
1151,AUH,AAN2284,CLASS C,CIVIL,MAIN GATE IS RUSTED AND NEEDS REPAINTING,MINOR,2024-07-31,2025-08-16,CLOSED,CLOSED_UNIQUE,July-24,August-25
1196,AUH,AUH3028,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2024-08-01,2026-02-07,CLOSED,CLOSED_UNIQUE,August-24,February-26
96265,AUH,AUH3717,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2026-02-10,,OPEN,KEEP_OPEN,February-26,
96257,AUH,AUH6493,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2026-02-10,,OPEN,KEEP_OPEN,February-26,
97947,AUH,AUH2597,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2026-03-16,,OPEN,KEEP_OPEN,March-26,
93260,AUH,AUH2641,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2026-02-13,2026-03-10,CLOSED,CLOSED_UNIQUE,February-26,March-26
93817,DXB,SHJ3789,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2026-02-14,,OPEN,KEEP_OPEN,February-26,
92378,AUH,AAN0003,CLASS C,EXTERNAL ALARMS,NOT WORKING,MINOR,2026-02-10,,OPEN,KEEP_OPEN,February-26,
1315,DXB,RAK2780,CLASS C,CIVIL,CIVIL - OTHERS,MINOR,2024-08-05,2026-01-08,CLOSED,CLOSED_UNIQUE,August-24,January-26
1345,DXB,IDX0975A,CLASS C,ACCESS,REQUIRES PERMIT/ EMAILL APPROVAL,MINOR,2024-08-05,2026-02-06,CLOSED,CLOSED_UNIQUE,August-24,February-26
96404,AUH,AUH3649,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2026-02-23,,OPEN,KEEP_OPEN,February-26,
1379,DXB,DXB2052,CLASS C,CIVIL,SHELTER FLOOR NEEDS REPAIRING,MINOR,2024-08-06,2026-01-17,CLOSED,CLOSED_UNIQUE,August-24,January-26
1387,AUH,AAN2269,CLASS C,POWER METER,POWER METER NOT WORKING,MINOR,2024-08-07,2025-08-25,CLOSED,CLOSED_UNIQUE,August-24,August-25
1396,DXB,DXB1734,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2024-08-07,2025-08-12,CLOSED,CLOSED_UNIQUE,August-24,August-25
1423,AUH,AAN2052,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-08-08,2026-01-17,CLOSED,CLOSED_UNIQUE,August-24,January-26
1426,AUH,AAC4348,CLASS C,DC SYSTEM,RECTIFIER CIRCUIT BREAKER FAULTY,MINOR,2024-08-08,2025-10-18,CLOSED,CLOSED_UNIQUE,August-24,October-25
1448,DXB,DXB2303,CLASS C,CIVIL,SHELTER FLOOR NEEDS REPAIRING,MINOR,2024-08-08,2025-10-08,CLOSED,CLOSED_UNIQUE,August-24,October-25
1462,AUH,AUH0423A,CLASS C,EXTERNAL ALARMS,NOT WORKING,MINOR,2024-08-08,2025-10-31,CLOSED,CLOSED_UNIQUE,August-24,October-25
1463,AUH,AUH0423B,CLASS C,EXTERNAL ALARMS,NOT WORKING,MINOR,2024-08-08,2025-10-31,CLOSED,CLOSED_UNIQUE,August-24,October-25
94090,AUH,AAN2617,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2026-02-18,,OPEN,KEEP_OPEN,February-26,
93181,DXB,UAQ2817,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2026-02-12,,OPEN,KEEP_OPEN,February-26,
1531,AUH,AUH6491,CLASS C,DC SYSTEM,AIR FILTER DAMAGED,MINOR,2024-08-10,2025-08-23,CLOSED,CLOSED_UNIQUE,August-24,August-25
1572,AUH,AUH2902,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-08-12,2025-09-29,CLOSED,CLOSED_UNIQUE,August-24,September-25
1577,DXB,AJM3362,CLASS C,CIVIL,SHELTER FLOOR NEEDS REPAIRING,MINOR,2024-08-12,,OPEN,KEEP_OPEN,August-24,
93988,DXB,RAK3525,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2026-02-16,,OPEN,KEEP_OPEN,February-26,
1595,DXB,FUJ2166,CLASS C,ACCESS,ROAD DAMAGED/4X4 REQUIREMENT,MINOR,2024-08-12,,OPEN,KEEP_OPEN,August-24,
1613,AUH,AUH3100,CLASS C,SHELTER,INTERNAL LIGHTING BULB FAULTY,MINOR,2024-08-12,2026-02-06,CLOSED,CLOSED_UNIQUE,August-24,February-26
1615,AUH,AUH3172,CLASS C,OTHERS,PLANTATION,MINOR,2024-08-12,2026-02-06,CLOSED,CLOSED_UNIQUE,August-24,February-26
93493,AUH,AAN2086,CLASS C,POWER METER,POWER METER CABINET DAMAGED,MINOR,2026-02-14,,OPEN,KEEP_OPEN,February-26,
1667,DXB,DXB0299,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-08-13,2025-08-30,CLOSED,CLOSED_UNIQUE,August-24,August-25
1687,AUH,AUH2545,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2024-08-14,2025-08-25,CLOSED,CLOSED_UNIQUE,August-24,August-25
1713,DXB,DXB1810,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2024-08-14,,OPEN,KEEP_OPEN,August-24,
1716,AUH,AUH2972,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-08-14,,OPEN,KEEP_OPEN,August-24,
1759,AUH,AUH2291,CLASS C,AIR CONDITIONING,AIR CONDITIONING - OTHERS,MINOR,2024-08-15,2025-10-31,CLOSED,CLOSED_UNIQUE,August-24,October-25
94789,DXB,RAK2868,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2026-02-20,,OPEN,KEEP_OPEN,February-26,
92714,DXB,UAQ2395,CLASS C,CIVIL,MAIN GATE IS RUSTED AND NEEDS REPAINTING,MINOR,2026-02-11,,OPEN,KEEP_OPEN,February-26,
92711,DXB,UAQ2395,CLASS C,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,MINOR,2026-02-11,,OPEN,KEEP_OPEN,February-26,
1833,DXB,UAQ2820,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-08-16,2025-08-26,CLOSED,CLOSED_UNIQUE,August-24,August-25
93726,AUH,AUH2512,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2026-02-17,,OPEN,KEEP_OPEN,February-26,
92995,DXB,KFN3462,CLASS C,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,MINOR,2026-02-12,,OPEN,KEEP_OPEN,February-26,
1872,AUH,AUH2768,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2024-08-17,2025-08-20,CLOSED,CLOSED_UNIQUE,August-24,August-25
1879,AUH,AUH2856,CLASS C,DC SYSTEM,DC SYSTEM DOOR SENSOR FAULTY,MINOR,2024-08-17,2025-07-23,CLOSED,CLOSED_UNIQUE,August-24,July-25
1937,DXB,DXB1894,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2024-08-19,2025-08-12,CLOSED,CLOSED_UNIQUE,August-24,August-25
1943,AUH,AAN2524,CLASS C,EXTERNAL ALARMS,NOT WORKING,MINOR,2024-08-20,2025-09-23,CLOSED,CLOSED_UNIQUE,August-24,September-25
2003,DXB,UAQ2925,CLASS C,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,MINOR,2024-08-20,2026-02-26,CLOSED,CLOSED_UNIQUE,August-24,February-26
96737,AUH,AAN2825,CLASS C,CIVIL,MAIN GATE FOUNDATION AND STOPPER NEED REPAIRING,MAJOR,2026-03-10,,OPEN,KEEP_OPEN,March-26,
2050,AUH,AUH3269,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2024-08-21,2025-08-13,CLOSED,CLOSED_UNIQUE,August-24,August-25
2072,AUH,AUH3389,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2024-08-22,2025-08-16,CLOSED,CLOSED_UNIQUE,August-24,August-25
2135,AUH,AUH3542,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2024-08-24,2025-08-04,CLOSED,CLOSED_UNIQUE,August-24,August-25
2165,DXB,dub0673,CLASS C,DC SYSTEM,RECTIFIER MODULE FAULTY,MINOR,2024-08-24,2025-08-21,CLOSED,CLOSED_UNIQUE,August-24,August-25
96656,AUH,AUH3336,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2026-03-10,,OPEN,KEEP_OPEN,March-26,
2184,DXB,RAK1232,CLASS C,ACCESS,BUILDING MANAGEMENT NOT ALLOWING,MINOR,2024-08-26,,OPEN,KEEP_OPEN,August-24,
2191,AUH,AUH3318,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2024-08-26,2025-08-20,CLOSED,CLOSED_UNIQUE,August-24,August-25
2208,AUH,AUH0880,CLASS C,EXTERNAL ALARMS,NOT WORKING,MINOR,2024-08-26,2025-10-31,CLOSED,CLOSED_UNIQUE,August-24,October-25
2219,AUH,AUH3445,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2024-08-26,,OPEN,KEEP_OPEN,August-24,
2229,AUH,AAN2072,CLASS C,CIVIL,SHELTER STEP NEEDS REPAIRING,MINOR,2024-08-27,2025-09-11,CLOSED,CLOSED_UNIQUE,August-24,September-25
96659,AUH,AUH3175,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2026-03-10,,OPEN,KEEP_OPEN,March-26,
2300,AUH,AUH2643,CLASS C,CIVIL,MAIN GATE IS RUSTED AND NEEDS REPAINTING,MINOR,2024-08-28,2025-09-03,CLOSED,CLOSED_UNIQUE,August-24,September-25
2305,AUH,AUH2777,CLASS C,CIVIL,MAIN GATE IS RUSTED AND NEEDS REPAINTING,MINOR,2024-08-28,2025-09-03,CLOSED,CLOSED_UNIQUE,August-24,September-25
96468,AUH,AAN3405,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2026-03-09,,OPEN,KEEP_OPEN,March-26,
2404,AUH,AUH3238,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2024-08-29,2025-08-13,CLOSED,CLOSED_UNIQUE,August-24,August-25
2413,AUH,AUH2999,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-08-29,2026-01-03,CLOSED,CLOSED_UNIQUE,August-24,January-26
2420,AUH,AUH2491,CLASS C,AIR CONDITIONING,AIR CONDITIONING - OTHERS,MINOR,2024-08-29,2025-09-24,CLOSED,CLOSED_UNIQUE,August-24,September-25
2459,AUH,AAN2446,CLASS C,CIVIL,MAIN GATE FOUNDATION AND STOPPER NEED REPAIRING,MAJOR,2024-08-30,2025-09-13,CLOSED,CLOSED_UNIQUE,August-24,September-25
96378,AUH,AUH2958,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2026-02-19,,OPEN,KEEP_OPEN,February-26,
96380,AUH,AUH2958,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2026-02-19,,OPEN,KEEP_OPEN,February-26,
96565,AUH,AUH3184,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2026-03-09,,OPEN,KEEP_OPEN,March-26,
2486,AUH,AUH2432,CLASS C,CIVIL,SAFETY ROPE DAMAGED,MINOR,2024-08-30,,OPEN,KEEP_OPEN,August-24,
2496,DXB,RAK2763,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2024-08-30,2025-09-25,CLOSED,CLOSED_UNIQUE,August-24,September-25
2512,AUH,AUH3737,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2024-08-31,2025-09-01,CLOSED,CLOSED_UNIQUE,August-24,September-25
2514,DXB,KFN3674,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2024-08-31,2025-09-13,CLOSED,CLOSED_UNIQUE,August-24,September-25
2516,DXB,KFN6315,CLASS C,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,MINOR,2024-08-31,2025-09-23,CLOSED,CLOSED_UNIQUE,August-24,September-25
2581,AUH,AUH3710,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2024-09-03,2025-10-21,CLOSED,CLOSED_UNIQUE,September-24,October-25
2591,DXB,DXB0218,CLASS C,DC SYSTEM,RECTIFIER MODULE FAULTY,MINOR,2024-09-03,2026-02-06,CLOSED,CLOSED_UNIQUE,September-24,February-26
2617,AUH,AUH6404,CLASS C,AWL,AWL CONTROL PANEL FAULTY,MINOR,2024-09-03,2025-10-31,CLOSED,CLOSED_UNIQUE,September-24,October-25
2669,DXB,AJM0802,CLASS C,CIVIL,RRU NEEDS REPAIRING,MINOR,2024-09-05,2025-08-13,CLOSED,CLOSED_UNIQUE,September-24,August-25
2674,AUH,AUH3536,CLASS C,DC SYSTEM,RECTIFIER MODULE FAULTY,MINOR,2024-09-05,2026-02-06,CLOSED,CLOSED_UNIQUE,September-24,February-26
2675,AUH,AUH3536,CLASS C,MDB,MDB - OTHERS,MINOR,2024-09-05,2025-09-24,CLOSED,CLOSED_UNIQUE,September-24,September-25
2676,AUH,AUH3536,CLASS C,AWL,AWL - OTHERS,MINOR,2024-09-05,2025-09-24,CLOSED,CLOSED_UNIQUE,September-24,September-25
